playerid,player,id,name
18294,Cameron Brate,12110,"Brate, Cameron"
328523,Allen Lazard,13632,"Lazard, Allen"
13641,T.Y. Hilton,10729,"Hilton, T.Y."
18106,Davante Adams,11675,"Adams, Davante"
1844366,Kirk Merritt,15046,"Merritt, Kirk"
12184,Danny Amendola,9308,"Amendola, Danny"
18458,James White,11747,"White, James"
328459,Jordan Thomas,13819,"Thomas, Jordan"
982431,Tony Pollard,14085,"Pollard, Tony"
982822,Darrell Henderson,14087,"Henderson, Darrell"
21793,Blake Bell,12213,"Bell, Blake"
21635,Chris Manhertz,12955,"Manhertz, Chris"
328421,Chris Herndon,13679,"Herndon, Chris"
1255828,Rico Gafford,14760,"Gafford, Rico"
35615,Demarcus Robinson,12785,"Robinson, Demarcus"
328711,Christian Blake,14342,"Blake, Christian"
982203,Devin Singletary,14080,"Singletary, Devin"
982111,Ty Johnson,14095,"Johnson, Ty"
21563,Tyler Kroft,12212,"Kroft, Tyler"
328304,Tyler Conklin,13675,"Conklin, Tyler"
35670,Tyler Higbee,12678,"Higbee, Tyler"
13639,Cole Beasley,10973,"Beasley, Cole"
36978,Zach Pascal,13488,"Pascal, Zach"
982511,Terry McLaurin,14109,"McLaurin, Terry"
11608,Alex Smith,7813,"Smith, Alex"
18330,Derek Carr,11644,"Carr, Derek"
1844520,Collin Johnson,14853,"Johnson, Collin"
982319,Tyron Johnson,14117,"Johnson, Tyron"
328550,Cameron Batson,13912,"Batson, Cameron"
18365,Darren Fells,11337,"Fells, Darren"
1844128,Tee Higgins,14835,"Higgins, Tee"
12326,Emmanuel Sanders,9918,"Sanders, Emmanuel"
982084,Riley Ridley,14103,"Ridley, Riley"
523069,Patrick Ricard,13455,"Ricard, Patrick"
328275,Marquez Valdes-Scantling,13793,"Valdes-Scantling, Marquez"
18281,Brandin Cooks,11674,"Cooks, Brandin"
21726,Damiere Byrd,12464,"Byrd, Damiere"
21757,Amari Cooper,12175,"Cooper, Amari"
